id,name,type,source,usage,img_src
material1,升扬样本·骑士,天赋培养素材,周常BOSS掉落 70级以上门扉前的弈局挑战奖励,"{'丝柯克': '天赋6→10', '雅珂达': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/4/4c/b0jukpamqgtrwdl4vju4805ghg05tol.png/60px-%E5%8D%87%E6%89%AC%E6%A0%B7%E6%9C%AC%C2%B7%E9%AA%91%E5%A3%AB.png
material2,升扬样本·战车,天赋培养素材,周常BOSS掉落 70级以上门扉前的弈局挑战奖励,"{'奈芙尔': '天赋6→10', '伊法': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/9/91/fs2lu8lhsbcamnvtowv33urb31h5ykh.png/60px-%E5%8D%87%E6%89%AC%E6%A0%B7%E6%9C%AC%C2%B7%E6%88%98%E8%BD%A6.png
material3,升扬样本·王族,天赋培养素材,周常BOSS掉落 70级以上门扉前的弈局挑战奖励,{'菲林斯': '天赋6→10'},https://patchwiki.biligame.com/images/ys/thumb/7/76/2qguewbb8o3vfr0eveo66tfufyr01pa.png/60px-%E5%8D%87%E6%89%AC%E6%A0%B7%E6%9C%AC%C2%B7%E7%8E%8B%E6%97%8F.png
material4,蚀灭的鳞羽,天赋培养素材,周常BOSS掉落 70级以上蚀灭的源焰之主挑战奖励,"{'菈乌玛': '天赋6→10', '瓦雷莎': '天赋6→10', '塔利雅': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/8/8b/rzhed5sstydommj03cs7vebdsyjz2qd.png/60px-%E8%9A%80%E7%81%AD%E7%9A%84%E9%B3%9E%E7%BE%BD.png
material5,蚀灭的阳焰,天赋培养素材,周常BOSS掉落 70级以上蚀灭的源焰之主挑战奖励,"{'杜林': '天赋6→10', '伊涅芙': '天赋6→10', '蓝砚': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/2/2b/5zrqaanvfb1mtxsmp8gln565cd9whdf.png/60px-%E8%9A%80%E7%81%AD%E7%9A%84%E9%98%B3%E7%84%B0.png
material6,蚀灭的灵犀,天赋培养素材,周常BOSS掉落 70级以上蚀灭的源焰之主挑战奖励,"{'爱可菲': '天赋6→10', '玛薇卡': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/3/38/mytv2d2aiw94upywjow82kotle0c8s0.png/60px-%E8%9A%80%E7%81%AD%E7%9A%84%E7%81%B5%E7%8A%80.png
material7,星与火的基石,天赋培养素材,魔神任务 部族纪闻 世界任务,"{'旅行者': '火', '天赋': ''}",https://patchwiki.biligame.com/images/ys/thumb/3/30/obta8yowaaweydwna8afpfdffnr7kec.png/60px-%E6%98%9F%E4%B8%8E%E7%81%AB%E7%9A%84%E5%9F%BA%E7%9F%B3.png
material8,残火灯烛,天赋培养素材,周常BOSS掉落 70级以上「仆人」挑战奖励,"{'梦见月瑞希': '天赋6→10', '阿蕾奇诺': '天赋6→10', '卡齐娜': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/1/14/p7tqeot92kb8v5le3oji60fi6568i7l.png/60px-%E6%AE%8B%E7%81%AB%E7%81%AF%E7%83%9B.png
material9,否定裁断,天赋培养素材,周常BOSS掉落 70级以上「仆人」挑战奖励,"{'茜特菈莉': '天赋6→10', '基尼奇': '天赋6→10', '伊安珊': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/3/31/b11c0vg5any50w6ucof2cc0dsqni7lg.png/60px-%E5%90%A6%E5%AE%9A%E8%A3%81%E6%96%AD.png
material10,丝织之羽,天赋培养素材,周常BOSS掉落 70级以上「仆人」挑战奖励,"{'恰斯卡': '天赋6→10', '艾梅莉埃': '天赋6→10', '爱诺': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/8/8d/fpl3biibcnxgyns5k0vjr24g1dn0j2b.png/60px-%E4%B8%9D%E7%BB%87%E4%B9%8B%E7%BE%BD.png
